"112年10月13日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","1437  ","勤益控          ","75,000","20,000","55,000","0","0","0","75,000","20,000","55,000",
" ","2031  ","新光鋼          ","444,000","391,000","53,000","0","0","0","444,000","391,000","53,000",
" ","6108  ","競國            ","152,000","100,000","52,000","0","0","0","152,000","100,000","52,000",
" ","8033  ","雷虎            ","70,000","18,000","52,000","0","0","0","70,000","18,000","52,000",
" ",="00640L","富邦日本正2     ","54,000","3,000","51,000","0","0","0","54,000","3,000","51,000",
" ","8467  ","波力-KY         ","111,000","60,000","51,000","0","0","0","111,000","60,000","51,000",
" ","6781  ","AES-KY          ","161,000","110,500","50,500","0","0","0","161,000","110,500","50,500",
" ",="00728 ","第一金工業30    ","51,000","1,000","50,000","0","0","0","51,000","1,000","50,000",
" ","6591  ","動力-KY         ","73,000","23,000","50,000","0","0","0","73,000","23,000","50,000",
" ","2107  ","厚生            ","58,000","9,000","49,000","0","0","0","58,000","9,000","49,000",
" ","2480  ","敦陽科          ","94,000","45,000","49,000","0","0","0","94,000","45,000","49,000",
" ","1701  ","中化            ","116,000","68,000","48,000","0","0","0","116,000","68,000","48,000",
" ","2247  ","汎德永業        ","92,000","44,000","48,000","0","0","0","92,000","44,000","48,000",
" ","2342  ","茂矽            ","74,000","26,000","48,000","0","0","0","74,000","26,000","48,000",
" ","4976  ","佳凌            ","89,000","41,000","48,000","0","0","0","89,000","41,000","48,000",
" ",="061629","華航法興34購01  ","46,000","0","46,000","0","0","0","46,000","0","46,000",
" ","2608  ","嘉里大榮        ","64,000","19,000","45,000","0","0","0","64,000","19,000","45,000",
" ",="00701 ","國泰股利精選30  ","64,000","21,000","43,000","0","0","0","64,000","21,000","43,000",
" ",="00738U","期元大道瓊白銀  ","43,000","0","43,000","0","0","0","43,000","0","43,000",
" ","1231  ","聯華食          ","107,000","66,000","41,000","0","0","0","107,000","66,000","41,000",
" ","5234  ","達興材料        ","254,000","213,000","41,000","0","0","0","254,000","213,000","41,000",
" ",="058431","新唐統一4B購01  ","40,000","0","40,000","0","0","0","40,000","0","40,000",
" ","2367  ","燿華            ","817,000","777,000","40,000","0","0","0","817,000","777,000","40,000",
" ","3312  ","弘憶股          ","58,000","20,000","38,000","0","0","0","58,000","20,000","38,000",
" ","2439  ","美律            ","476,000","439,000","37,000","0","0","0","476,000","439,000","37,000",
" ",="00770 ","國泰北美科技    ","37,000","1,000","36,000","0","0","0","37,000","1,000","36,000",
" ","3092  ","鴻碩            ","48,000","12,000","36,000","0","0","0","48,000","12,000","36,000",
" ",="051034","景碩凱基43購10  ","35,000","0","35,000","0","0","0","35,000","0","35,000",
" ",="056077","亞翔群益44購03  ","35,000","0","35,000","0","0","0","35,000","0","35,000",
" ","2413  ","環科            ","68,000","33,000","35,000","0","0","0","68,000","33,000","35,000",
" ","3021  ","鴻名            ","52,000","19,000","33,000","0","0","0","52,000","19,000","33,000",
" ","6668  ","中揚光          ","48,000","15,000","33,000","0","0","0","48,000","15,000","33,000",
" ","2228  ","劍麟            ","109,000","77,000","32,000","0","0","0","109,000","77,000","32,000",
" ",="00702 ","國泰標普低波高息","31,000","0","31,000","0","0","0","31,000","0","31,000",
" ","1723  ","中碳            ","71,000","40,000","31,000","0","0","0","71,000","40,000","31,000",
" ","4536  ","拓凱            ","148,000","117,000","31,000","0","0","0","148,000","117,000","31,000",
" ","4770  ","上品            ","72,000","41,000","31,000","0","0","0","72,000","41,000","31,000",
" ","8021  ","尖點            ","83,000","52,000","31,000","0","0","0","83,000","52,000","31,000",
" ",="03387T","定穎控群益33售07","30,000","0","30,000","0","0","0","30,000","0","30,000",
" ","1611  ","中電            ","112,000","82,000","30,000","0","0","0","112,000","82,000","30,000",
" ","1618  ","合機            ","427,000","397,000","30,000","0","0","0","427,000","397,000","30,000",
" ","2030  ","彰源            ","84,000","55,000","29,000","0","0","0","84,000","55,000","29,000",
" ",="056080","上証2X元大47購01","28,000","0","28,000","0","0","0","28,000","0","28,000",
" ","6226  ","光鼎            ","30,000","2,000","28,000","0","0","0","30,000","2,000","28,000",
" ","6283  ","淳安            ","56,000","28,000","28,000","0","0","0","56,000","28,000","28,000",
" ",="00918 ","大華優利高填息30","64,444","37,000","27,444","0","0","0","64,444","37,000","27,444",
" ","1517  ","利奇            ","33,000","6,000","27,000","0","0","0","33,000","6,000","27,000",
" ","2038  ","海光            ","37,000","11,000","26,000","0","0","0","37,000","11,000","26,000",
" ","1737  ","臺鹽            ","58,000","33,000","25,000","0","0","0","58,000","33,000","25,000",
" ","6202  ","盛群            ","204,000","179,000","25,000","0","0","0","204,000","179,000","25,000",
" ","6209  ","今國光          ","34,000","9,000","25,000","0","0","0","34,000","9,000","25,000",
" ",="00912 ","中信臺灣智慧50  ","30,000","6,000","24,000","0","0","0","30,000","6,000","24,000",
" ","2104  ","國際中橡        ","243,000","219,000","24,000","0","0","0","243,000","219,000","24,000",
" ","6206  ","飛捷            ","159,000","135,000","24,000","0","0","0","159,000","135,000","24,000",
" ","6792  ","詠業            ","43,000","19,000","24,000","0","0","0","43,000","19,000","24,000",
" ","3535  ","晶彩科          ","27,000","4,000","23,000","0","0","0","27,000","4,000","23,000",
" ","4438  ","廣越            ","66,000","43,000","23,000","0","0","0","66,000","43,000","23,000",
" ","4540  ","全球傳動        ","25,000","2,000","23,000","0","0","0","25,000","2,000","23,000",
" ","4720  ","德淵            ","24,000","1,000","23,000","0","0","0","24,000","1,000","23,000",
" ","1447  ","力鵬            ","56,100","34,000","22,100","0","0","0","56,100","34,000","22,100",
" ",="07791U","臺股指法興2C售10","22,000","0","22,000","0","0","0","22,000","0","22,000",
" ","3024  ","憶聲            ","123,000","101,000","22,000","0","0","0","123,000","101,000","22,000",
" ","6698  ","旭暉應材        ","22,000","0","22,000","0","0","0","22,000","0","22,000",
" ",="006206","元大上證50      ","21,000","0","21,000","0","0","0","21,000","0","21,000",
" ","6278  ","台表科          ","349,000","328,000","21,000","0","0","0","349,000","328,000","21,000",
" ","6477  ","安集            ","159,000","138,000","21,000","0","0","0","159,000","138,000","21,000",
" ","6807  ","峰源-KY         ","26,000","5,000","21,000","0","0","0","26,000","5,000","21,000",
" ","2702  ","華園            ","30,550","10,000","20,550","0","0","0","30,550","10,000","20,550",
" ",="052198","材料富邦46購02  ","20,000","0","20,000","0","0","0","20,000","0","20,000",
" ",="057166","上銀凱基49購01  ","20,000","0","20,000","0","0","0","20,000","0","20,000",
" ","3003  ","健和興          ","77,000","57,000","20,000","0","0","0","77,000","57,000","20,000",
" ","8462  ","柏文            ","39,000","19,000","20,000","0","0","0","39,000","19,000","20,000",
" ","1307  ","三芳            ","173,000","154,000","19,000","0","0","0","173,000","154,000","19,000",
" ","2472  ","立隆電          ","36,000","17,000","19,000","0","0","0","36,000","17,000","19,000",
" ","2908  ","特力            ","31,000","12,000","19,000","0","0","0","31,000","12,000","19,000",
" ",="00642U","期元大S&P石油   ","18,000","0","18,000","0","0","0","18,000","0","18,000",
" ",="00730 ","富邦臺灣優質高息","49,000","31,000","18,000","0","0","0","49,000","31,000","18,000",
" ","1773  ","勝一            ","26,000","8,000","18,000","0","0","0","26,000","8,000","18,000",
" ","1533  ","車王電          ","52,000","35,000","17,000","0","0","0","52,000","35,000","17,000",
" ","2836  ","高雄銀          ","126,000","109,000","17,000","0","0","0","126,000","109,000","17,000",
" ",="060046","光寶科凱基47購01","16,000","0","16,000","0","0","0","16,000","0","16,000",
" ","1201  ","味全            ","77,000","61,000","16,000","0","0","0","77,000","61,000","16,000",
" ","2414  ","精技            ","21,000","5,000","16,000","0","0","0","21,000","5,000","16,000",
" ","2511  ","太子            ","52,000","36,000","16,000","0","0","0","52,000","36,000","16,000",
" ","3149  ","正達            ","43,000","27,000","16,000","0","0","0","43,000","27,000","16,000",
" ",="00675L","富邦臺灣加權正2 ","29,000","14,000","15,000","0","0","0","29,000","14,000","15,000",
" ","3679  ","新至陞          ","28,000","15,000","13,000","0","0","0","28,000","15,000","13,000",
" ",="00662 ","富邦NASDAQ      ","46,050","34,000","12,050","0","0","0","46,050","34,000","12,050",
" ","2032  ","新鋼            ","13,000","1,000","12,000","0","0","0","13,000","1,000","12,000",
" ","2540  ","愛山林          ","88,000","76,000","12,000","0","0","0","88,000","76,000","12,000",
"*","3661  ","世芯-KY         ","805,260","794,039","11,221","0","0","0","805,260","794,039","11,221",
" ",="00648R","元大S&P500反1   ","11,000","0","11,000","0","0","0","11,000","0","11,000",
" ",="048955","華擎群益44購01  ","11,000","0","11,000","0","0","0","11,000","0","11,000",
" ","2820  ","華票            ","127,000","116,000","11,000","0","0","0","127,000","116,000","11,000",
" ","3437  ","榮創            ","11,000","0","11,000","0","0","0","11,000","0","11,000",
" ",="0053  ","元大電子        ","11,000","1,000","10,000","0","0","0","11,000","1,000","10,000",
" ",="00899 ","FT潔淨能源      ","10,000","0","10,000","0","0","0","10,000","0","10,000",
" ",="048416","欣興富邦46購02  ","10,000","0","10,000","0","0","0","10,000","0","10,000",
" ","1702  ","南僑            ","45,000","35,000","10,000","0","0","0","45,000","35,000","10,000",
" ","1711  ","永光            ","113,000","103,000","10,000","0","0","0","113,000","103,000","10,000",
" ","2207  ","和泰車          ","109,461","99,716","9,745","0","0","0","109,461","99,716","9,745",
" ","2478  ","大毅            ","12,000","3,000","9,000","0","0","0","12,000","3,000","9,000",
" ","3050  ","鈺德            ","46,000","37,000","9,000","0","0","0","46,000","37,000","9,000",
" ","8422  ","可寧衛          ","67,000","58,000","9,000","0","0","0","67,000","58,000","9,000",
" ","1472  ","三洋實業        ","10,000","2,000","8,000","0","0","0","10,000","2,000","8,000",
" ","2328  ","廣宇            ","414,000","406,000","8,000","0","0","0","414,000","406,000","8,000",
" ","3712  ","永崴投控        ","71,000","63,000","8,000","0","0","0","71,000","63,000","8,000",
" ",="0051  ","元大中型100     ","7,030","0","7,030","0","0","0","7,030","0","7,030",
" ",="00690 ","兆豐藍籌30      ","7,000","0","7,000","0","0","0","7,000","0","7,000",
" ","4952  ","凌通            ","14,000","7,000","7,000","0","0","0","14,000","7,000","7,000",
" ","8463  ","潤泰材          ","8,000","1,000","7,000","0","0","0","8,000","1,000","7,000",
" ",="00693U","期街口S&P黃豆   ","28,000","22,000","6,000","0","0","0","28,000","22,000","6,000",
" ",="057032","聯陽中信45購01  ","6,000","0","6,000","0","0","0","6,000","0","6,000",
" ","1451  ","年興            ","9,000","3,000","6,000","0","0","0","9,000","3,000","6,000",
" ","1452  ","宏益            ","6,000","0","6,000","0","0","0","6,000","0","6,000",
" ","1527  ","鑽全            ","17,000","11,000","6,000","0","0","0","17,000","11,000","6,000",
" ","1540  ","喬福            ","25,000","19,000","6,000","0","0","0","25,000","19,000","6,000",
" ","1727  ","中華化          ","108,000","102,000","6,000","0","0","0","108,000","102,000","6,000",
" ","1906  ","寶隆            ","8,000","2,000","6,000","0","0","0","8,000","2,000","6,000",
" ","2881A ","富邦特          ","6,000","0","6,000","0","0","0","6,000","0","6,000",
" ","3652  ","精聯            ","19,000","13,000","6,000","0","0","0","19,000","13,000","6,000",
" ","4956  ","光鋐            ","7,000","1,000","6,000","0","0","0","7,000","1,000","6,000",
" ","6133  ","金橋            ","8,000","2,000","6,000","0","0","0","8,000","2,000","6,000",
" ","6142  ","友勁            ","23,001","18,000","5,001","0","0","0","23,001","18,000","5,001",
" ",="00638R","元大滬深300反1  ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ",="046686","世芯元大43購19  ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ",="049764","華通凱基46購01  ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ",="055199","盛群國票45購01  ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ",="060004","日電貿中信46購01","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ","1453  ","大將            ","11,000","6,000","5,000","0","0","0","11,000","6,000","5,000",
" ","1455  ","集盛            ","37,000","32,000","5,000","0","0","0","37,000","32,000","5,000",
" ","1457  ","宜進            ","13,000","8,000","5,000","0","0","0","13,000","8,000","5,000",
" ","1535  ","中宇            ","19,000","14,000","5,000","0","0","0","19,000","14,000","5,000",
" ","2444  ","兆勁            ","32,000","27,000","5,000","0","0","0","32,000","27,000","5,000",
" ","2459  ","敦吉            ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ","2704  ","國賓            ","26,000","21,000","5,000","0","0","0","26,000","21,000","5,000",
" ","2881B ","富邦金乙特      ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ","3057  ","喬鼎            ","8,000","3,000","5,000","0","0","0","8,000","3,000","5,000",
" ","3593  ","力銘            ","5,000","0","5,000","0","0","0","5,000","0","5,000",
" ","4108  ","懷特            ","19,000","14,000","5,000","0","0","0","19,000","14,000","5,000",
" ","6743  ","安普新          ","29,000","24,000","5,000","0","0","0","29,000","24,000","5,000",
" ","6754  ","匯僑設計        ","8,000","3,000","5,000","0","0","0","8,000","3,000","5,000",
" ","8466  ","美吉吉-KY       ","6,000","1,000","5,000","0","0","0","6,000","1,000","5,000",
" ",="0055  ","元大MSCI金融    ","12,000","8,000","4,000","0","0","0","12,000","8,000","4,000",
" ",="047679","景碩富邦44購04  ","4,000","0","4,000","0","0","0","4,000","0","4,000",
" ","1459  ","聯發            ","6,000","2,000","4,000","0","0","0","6,000","2,000","4,000",
" ","6128  ","上福            ","15,000","11,000","4,000","0","0","0","15,000","11,000","4,000",
" ","6552  ","易華電          ","5,000","1,000","4,000","0","0","0","5,000","1,000","4,000",
" ","8215  ","明基材          ","87,000","83,000","4,000","0","0","0","87,000","83,000","4,000",
" ","910861","神州-DR         ","4,000","0","4,000","0","0","0","4,000","0","4,000",
" ","9934  ","成霖            ","30,000","26,000","4,000","0","0","0","30,000","26,000","4,000",
" ",="00666R","富邦恒生國企反1 ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ",="03045T","聯發科元富34售10","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ",="03114T","東元元大34售02  ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ",="051529","威盛群益43購07  ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ",="057304","陽明元大45購03  ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ",="08914U","臺股指法興32售11","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ","1432  ","大魯閣          ","12,000","9,000","3,000","0","0","0","12,000","9,000","3,000",
" ","1732  ","毛寶            ","9,000","6,000","3,000","0","0","0","9,000","6,000","3,000",
" ","2466  ","冠西電          ","6,000","3,000","3,000","0","0","0","6,000","3,000","3,000",
" ","2547  ","日勝生          ","21,000","18,000","3,000","0","0","0","21,000","18,000","3,000",
" ","3040  ","遠見            ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ","4555  ","氣立            ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ","4989  ","榮科            ","44,000","41,000","3,000","0","0","0","44,000","41,000","3,000",
" ","6606  ","建德工業        ","5,000","2,000","3,000","0","0","0","5,000","2,000","3,000",
" ","6689  ","伊雲谷          ","41,000","38,000","3,000","0","0","0","41,000","38,000","3,000",
" ","8070  ","長華*           ","50,000","47,000","3,000","0","0","0","50,000","47,000","3,000",
" ","9914  ","美利達          ","125,000","122,000","3,000","0","0","0","125,000","122,000","3,000",
" ","9926  ","新海            ","3,000","0","3,000","0","0","0","3,000","0","3,000",
" ",="00651R","復華香港反1     ","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ",="07393U","漢翔統一33售03  ","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ",="07793U","臺股指法興2C售12","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ","1325  ","恆大            ","4,000","2,000","2,000","0","0","0","4,000","2,000","2,000",
" ","1730  ","花仙子          ","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ","2429  ","銘旺科          ","3,000","1,000","2,000","0","0","0","3,000","1,000","2,000",
" ","2430  ","燦坤            ","9,000","7,000","2,000","0","0","0","9,000","7,000","2,000",
" ","2901  ","欣欣            ","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ","3031  ","佰鴻            ","7,000","5,000","2,000","0","0","0","7,000","5,000","2,000",
" ","3501  ","維熹            ","11,000","9,000","2,000","0","0","0","11,000","9,000","2,000",
" ","4557  ","永新-KY         ","8,000","6,000","2,000","0","0","0","8,000","6,000","2,000",
" ","4722  ","國精化          ","3,000","1,000","2,000","0","0","0","3,000","1,000","2,000",
" ","4994  ","傳奇            ","11,000","9,000","2,000","0","0","0","11,000","9,000","2,000",
" ","5288  ","豐祥-KY         ","5,000","3,000","2,000","0","0","0","5,000","3,000","2,000",
" ","6756  ","威鋒電子        ","36,000","34,000","2,000","0","0","0","36,000","34,000","2,000",
" ","6768  ","志強-KY         ","18,000","16,000","2,000","0","0","0","18,000","16,000","2,000",
" ","8473  ","山林水          ","2,000","0","2,000","0","0","0","2,000","0","2,000",
" ",="00635U","期元大S&P黃金   ","3,000","2,000","1,000","0","0","0","3,000","2,000","1,000",
" ",="044003","瑞祺元富42購01  ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ",="051454","海華凱基43購01  ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ",="055548","零壹中信45購01  ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ",="061127","川湖元富4A購05  ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ",="061283","矽統永豐4A購02  ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","1235  ","興泰            ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","1341  ","富林-KY         ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","1418  ","東華            ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","1521  ","大億            ","9,000","8,000","1,000","0","0","0","9,000","8,000","1,000",
" ","1539  ","巨庭            ","16,000","15,000","1,000","0","0","0","16,000","15,000","1,000",
" ","1597  ","直得            ","4,000","3,000","1,000","0","0","0","4,000","3,000","1,000",
" ","1817  ","凱撒衛          ","8,000","7,000","1,000","0","0","0","8,000","7,000","1,000",
" ","2115  ","六暉-KY         ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","2438  ","翔耀            ","20,000","19,000","1,000","0","0","0","20,000","19,000","1,000",
" ","2483  ","百容            ","4,000","3,000","1,000","0","0","0","4,000","3,000","1,000",
" ","2491  ","吉祥全          ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","3605  ","宏致            ","8,000","7,000","1,000","0","0","0","8,000","7,000","1,000",
" ","4148  ","全宇生技-KY     ","6,000","5,000","1,000","0","0","0","6,000","5,000","1,000",
" ","4426  ","利勤            ","12,000","11,000","1,000","0","0","0","12,000","11,000","1,000",
" ","6177  ","達麗            ","42,000","41,000","1,000","0","0","0","42,000","41,000","1,000",
" ","6230  ","尼得科超眾      ","5,000","4,000","1,000","0","0","0","5,000","4,000","1,000",
" ","6464  ","台數科          ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","6558  ","興能高          ","3,000","2,000","1,000","0","0","0","3,000","2,000","1,000",
" ","6573  ","虹揚-KY         ","3,000","2,000","1,000","0","0","0","3,000","2,000","1,000",
" ","8374  ","羅昇            ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ","8404  ","百和興業-KY     ","9,000","8,000","1,000","0","0","0","9,000","8,000","1,000",
" ","9931  ","欣高            ","1,000","0","1,000","0","0","0","1,000","0","1,000",
" ",="00661 ","元大日經225     ","50","0","50","0","0","0","50","0","50",
" ","3231  ","緯創            ","19,386,352","39,920,283","-20,533,931","0","0","0","19,386,352","39,920,283","-20,533,931",
" ","2618  ","長榮航          ","13,296,307","32,618,779","-19,322,472","0","0","0","13,296,307","32,618,779","-19,322,472",
" ","3481  ","群創            ","13,217,111","24,413,687","-11,196,576","0","0","0","13,217,111","24,413,687","-11,196,576",
" ","2382  ","廣達            ","12,971,064","23,560,176","-10,589,112","0","0","0","12,971,064","23,560,176","-10,589,112",
" ","2353  ","宏碁            ","3,093,642","12,226,906","-9,133,264","0","0","0","3,093,642","12,226,906","-9,133,264",
" ","2610  ","華航            ","3,861,070","12,009,334","-8,148,264","0","0","0","3,861,070","12,009,334","-8,148,264",
" ",="00878 ","國泰永續高股息  ","1,222,764","8,839,999","-7,617,235","0","0","0","1,222,764","8,839,999","-7,617,235",
" ","2881  ","富邦金          ","3,529,289","10,492,562","-6,963,273","0","0","0","3,529,289","10,492,562","-6,963,273",
" ","2883  ","凱基金          ","11,146,090","17,794,280","-6,648,190","0","0","0","11,146,090","17,794,280","-6,648,190",
" ","1905  ","華紙            ","993,000","7,156,000","-6,163,000","0","0","0","993,000","7,156,000","-6,163,000",
" ","2913  ","農林            ","537,000","6,079,000","-5,542,000","0","0","0","537,000","6,079,000","-5,542,000",
" ","1101  ","台泥            ","5,637,370","11,089,046","-5,451,676","0","0","0","5,637,370","11,089,046","-5,451,676",
" ",="00929 ","復華台灣科技優息","3,242,800","8,436,099","-5,193,299","0","0","0","3,242,800","8,436,099","-5,193,299",
" ","2301  ","光寶科          ","10,901,345","15,869,712","-4,968,367","0","0","0","10,901,345","15,869,712","-4,968,367",
" ",="00885 ","富邦越南        ","87,100","4,745,000","-4,657,900","0","0","0","87,100","4,745,000","-4,657,900",
" ","2002  ","中鋼            ","6,558,670","11,176,014","-4,617,344","0","0","0","6,558,670","11,176,014","-4,617,344",
" ","2376  ","技嘉            ","7,475,309","11,898,095","-4,422,786","0","0","0","7,475,309","11,898,095","-4,422,786",
" ","8996  ","高力            ","1,183,000","5,350,015","-4,167,015","0","0","0","1,183,000","5,350,015","-4,167,015",
"*","3037  ","欣興            ","2,391,170","6,520,929","-4,129,759","0","0","0","2,391,170","6,520,929","-4,129,759",
" ",="00665L","富邦恒生國企正2 ","813,000","4,934,000","-4,121,000","0","0","0","813,000","4,934,000","-4,121,000",
" ",="00753L","中信中國50正2   ","756,000","4,744,000","-3,988,000","0","0","0","756,000","4,744,000","-3,988,000",
" ","2329  ","華泰            ","967,000","4,915,000","-3,948,000","0","0","0","967,000","4,915,000","-3,948,000",
" ","2882  ","國泰金          ","8,538,500","12,457,587","-3,919,087","0","0","0","8,538,500","12,457,587","-3,919,087",
" ","2377  ","微星            ","1,178,481","4,758,538","-3,580,057","0","0","0","1,178,481","4,758,538","-3,580,057",
" ","2885  ","元大金          ","5,158,620","8,685,747","-3,527,127","0","0","0","5,158,620","8,685,747","-3,527,127",
" ","1303  ","南亞            ","2,306,080","5,763,980","-3,457,900","0","0","0","2,306,080","5,763,980","-3,457,900",
" ","2884  ","玉山金          ","3,779,552","7,147,656","-3,368,104","0","0","0","3,779,552","7,147,656","-3,368,104",
" ","9904  ","寶成            ","3,200,900","6,556,162","-3,355,262","0","0","0","3,200,900","6,556,162","-3,355,262",
" ","1504  ","東元            ","741,142","4,041,000","-3,299,858","0","0","0","741,142","4,041,000","-3,299,858",
" ","1609  ","大亞            ","319,000","3,519,493","-3,200,493","0","0","0","319,000","3,519,493","-3,200,493",
" ","2615  ","萬海            ","1,334,610","4,510,996","-3,176,386","0","0","0","1,334,610","4,510,996","-3,176,386",
" ","2356  ","英業達          ","19,910,363","23,045,376","-3,135,013","0","0","0","19,910,363","23,045,376","-3,135,013",
" ","2892  ","第一金          ","3,934,426","6,962,351","-3,027,925","0","0","0","3,934,426","6,962,351","-3,027,925",
" ","2409  ","友達            ","7,701,419","10,605,682","-2,904,263","0","0","0","7,701,419","10,605,682","-2,904,263",
" ",="00712 ","復華富時不動產  ","195,020","3,091,000","-2,895,980","0","0","0","195,020","3,091,000","-2,895,980",
" ",="00637L","元大滬深300正2  ","362,000","3,250,000","-2,888,000","0","0","0","362,000","3,250,000","-2,888,000",
"*","2308  ","台達電          ","3,210,934","5,563,825","-2,352,891","0","0","0","3,210,934","5,563,825","-2,352,891",
" ","1605  ","華新            ","3,542,530","5,871,823","-2,329,293","0","0","0","3,542,530","5,871,823","-2,329,293",
" ","1319  ","東陽            ","7,351,985","9,680,667","-2,328,682","0","0","0","7,351,985","9,680,667","-2,328,682",
" ","2891  ","中信金          ","10,817,855","13,138,516","-2,320,661","0","0","0","10,817,855","13,138,516","-2,320,661",
" ","1513  ","中興電          ","944,010","3,252,400","-2,308,390","0","0","0","944,010","3,252,400","-2,308,390",
" ","2880  ","華南金          ","1,883,780","4,180,368","-2,296,588","0","0","0","1,883,780","4,180,368","-2,296,588",
" ",="0056  ","元大高股息      ","37,802","2,322,100","-2,284,298","0","0","0","37,802","2,322,100","-2,284,298",
" ","2344  ","華邦電          ","6,135,650","8,375,230","-2,239,580","0","0","0","6,135,650","8,375,230","-2,239,580",
" ","2834  ","臺企銀          ","2,611,010","4,827,353","-2,216,343","0","0","0","2,611,010","4,827,353","-2,216,343",
" ","3025  ","星通            ","3,314,000","5,527,000","-2,213,000","0","0","0","3,314,000","5,527,000","-2,213,000",
" ","2515  ","中工            ","66,000","2,142,630","-2,076,630","0","0","0","66,000","2,142,630","-2,076,630",
" ","2538  ","基泰            ","1,233,000","3,305,000","-2,072,000","0","0","0","1,233,000","3,305,000","-2,072,000",
" ","2888  ","新光金          ","6,253,760","8,131,470","-1,877,710","0","0","0","6,253,760","8,131,470","-1,877,710",
" ","2887  ","台新金          ","4,044,770","5,915,570","-1,870,800","0","0","0","4,044,770","5,915,570","-1,870,800",
" ","2324  ","仁寶            ","16,894,432","18,760,455","-1,866,023","0","0","0","16,894,432","18,760,455","-1,866,023",
" ","3706  ","神達            ","11,184,000","13,048,000","-1,864,000","0","0","0","11,184,000","13,048,000","-1,864,000",
" ","5880  ","合庫金          ","2,518,986","4,296,237","-1,777,251","0","0","0","2,518,986","4,296,237","-1,777,251",
" ","2313  ","華通            ","6,624,000","8,376,000","-1,752,000","0","0","0","6,624,000","8,376,000","-1,752,000",
" ","2402  ","毅嘉            ","1,218,000","2,822,000","-1,604,000","0","0","0","1,218,000","2,822,000","-1,604,000",
" ","6282  ","康舒            ","990,000","2,572,000","-1,582,000","0","0","0","990,000","2,572,000","-1,582,000",
" ","2357  ","華碩            ","2,044,102","3,577,026","-1,532,924","0","0","0","2,044,102","3,577,026","-1,532,924",
" ","2425  ","承啟            ","2,349,000","3,841,000","-1,492,000","0","0","0","2,349,000","3,841,000","-1,492,000",
" ","6139  ","亞翔            ","1,456,056","2,938,000","-1,481,944","0","0","0","1,456,056","2,938,000","-1,481,944",
" ","3515  ","華擎            ","360,000","1,805,000","-1,445,000","0","0","0","360,000","1,805,000","-1,445,000",
" ","2371  ","大同            ","1,505,000","2,946,000","-1,441,000","0","0","0","1,505,000","2,946,000","-1,441,000",
" ","2399  ","映泰            ","367,000","1,789,000","-1,422,000","0","0","0","367,000","1,789,000","-1,422,000",
" ","2331  ","精英            ","1,400,000","2,785,000","-1,385,000","0","0","0","1,400,000","2,785,000","-1,385,000",
" ","2323  ","中環            ","1,576,000","2,891,000","-1,315,000","0","0","0","1,576,000","2,891,000","-1,315,000",
" ","5706  ","鳳凰            ","277,000","1,550,000","-1,273,000","0","0","0","277,000","1,550,000","-1,273,000",
" ","2485  ","兆赫            ","328,000","1,591,100","-1,263,100","0","0","0","328,000","1,591,100","-1,263,100",
" ","2332  ","友訊            ","334,000","1,592,000","-1,258,000","0","0","0","334,000","1,592,000","-1,258,000",
" ","3189  ","景碩            ","663,003","1,865,000","-1,201,997","0","0","0","663,003","1,865,000","-1,201,997",
" ","2014  ","中鴻            ","272,000","1,371,000","-1,099,000","0","0","0","272,000","1,371,000","-1,099,000",
