"112年10月13日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","4915  ","致伸            ","1,213,000","565,000","648,000","0","0","0","1,213,000","565,000","648,000",
" ",="00927 ","群益半導體收益  ","713,000","66,000","647,000","0","0","0","713,000","66,000","647,000",
" ","2362  ","藍天            ","730,000","113,000","617,000","0","0","0","730,000","113,000","617,000",
" ","2809  ","京城銀          ","1,498,000","902,000","596,000","0","0","0","1,498,000","902,000","596,000",
" ","3376  ","新日興          ","686,000","93,000","593,000","0","0","0","686,000","93,000","593,000",
" ","6271  ","同欣電          ","1,174,000","585,300","588,700","0","0","0","1,174,000","585,300","588,700",
" ",="050491","奇鋐元大49購03  ","564,000","1,000","563,000","0","0","0","564,000","1,000","563,000",
" ",="00688L","國泰20年美債正2 ","1,312,000","755,000","557,000","0","0","0","1,312,000","755,000","557,000",
" ","2347  ","聯強            ","1,687,593","1,150,138","537,455","0","0","0","1,687,593","1,150,138","537,455",
" ","4968  ","立積            ","1,308,000","783,196","524,804","0","0","0","1,308,000","783,196","524,804",
" ","3532  ","台勝科          ","739,000","216,000","523,000","0","0","0","739,000","216,000","523,000",
" ","2449  ","京元電子        ","5,842,005","5,328,861","513,144","0","0","0","5,842,005","5,328,861","513,144",
" ",="051059","大立光元大43購23","655,000","150,000","505,000","0","0","0","655,000","150,000","505,000",
" ","4306  ","炎洲            ","765,000","288,000","477,000","0","0","0","765,000","288,000","477,000",
" ","4958  ","臻鼎-KY         ","1,122,600","650,588","472,012","0","0","0","1,122,600","650,588","472,012",
" ",="00932 ","兆豐永續高息等權","472,000","0","472,000","0","0","0","472,000","0","472,000",
" ","1514  ","亞力            ","800,000","330,000","470,000","0","0","0","800,000","330,000","470,000",
" ","6214  ","精誠            ","558,000","89,000","469,000","0","0","0","558,000","89,000","469,000",
" ","3029  ","零壹            ","751,000","287,000","464,000","0","0","0","751,000","287,000","464,000",
" ","6205  ","詮欣            ","575,000","111,000","464,000","0","0","0","575,000","111,000","464,000",
" ","3042  ","晶技            ","1,047,050","600,000","447,050","0","0","0","1,047,050","600,000","447,050",
" ","2401  ","凌陽            ","1,055,000","612,000","443,000","0","0","0","1,055,000","612,000","443,000",
" ","6533  ","晶心科          ","717,000","283,000","434,000","0","0","0","717,000","283,000","434,000",
" ",="059371","嘉澤元大45購11  ","430,000","0","430,000","0","0","0","430,000","0","430,000",
" ","2379  ","瑞昱            ","1,749,526","1,321,065","428,461","0","0","0","1,749,526","1,321,065","428,461",
" ","2542  ","興富發          ","2,529,500","2,103,000","426,500","0","0","0","2,529,500","2,103,000","426,500",
" ","2535  ","達欣工          ","488,000","77,000","411,000","0","0","0","488,000","77,000","411,000",
" ",="00757 ","統一FANG+       ","427,100","20,000","407,100","0","0","0","427,100","20,000","407,100",
" ","3673  ","TPK-KY          ","758,000","364,015","393,985","0","0","0","758,000","364,015","393,985",
" ",="006208","富邦台50        ","421,983","35,000","386,983","0","0","0","421,983","35,000","386,983",
" ","6269  ","台郡            ","864,000","484,000","380,000","0","0","0","864,000","484,000","380,000",
" ","2233  ","宇隆            ","1,291,000","916,000","375,000","0","0","0","1,291,000","916,000","375,000",
" ",="060539","臺股指凱基4A購10","523,000","156,000","367,000","0","0","0","523,000","156,000","367,000",
" ","2105  ","正新            ","4,033,630","3,678,242","355,388","0","0","0","4,033,630","3,678,242","355,388",
" ","6024  ","群益期          ","460,000","106,000","354,000","0","0","0","460,000","106,000","354,000",
" ","2374  ","佳能            ","596,000","243,000","353,000","0","0","0","596,000","243,000","353,000",
" ","6117  ","迎廣            ","343,000","2,000","341,000","0","0","0","343,000","2,000","341,000",
" ","8271  ","宇瞻            ","454,000","123,000","331,000","0","0","0","454,000","123,000","331,000",
" ","3028  ","增你強          ","512,000","183,000","329,000","0","0","0","512,000","183,000","329,000",
" ",="058523","A50正2元大45購04","312,000","0","312,000","0","0","0","312,000","0","312,000",
" ","8046  ","南電            ","997,200","688,296","308,904","0","0","0","997,200","688,296","308,904",
" ","2408  ","南亞科          ","6,551,130","6,242,420","308,710","0","0","0","6,551,130","6,242,420","308,710",
" ","3450  ","聯鈞            ","6,650,999","6,346,005","304,994","0","0","0","6,650,999","6,346,005","304,994",
" ","3014  ","聯陽            ","996,000","698,000","298,000","0","0","0","996,000","698,000","298,000",
" ",="053526","亞光群益44購02  ","481,000","186,000","295,000","0","0","0","481,000","186,000","295,000",
" ",="00892 ","富邦台灣半導體  ","423,000","129,000","294,000","0","0","0","423,000","129,000","294,000",
" ",="058522","滬深2X元大45購08","404,000","112,000","292,000","0","0","0","404,000","112,000","292,000",
" ",="044318","國巨元大41購08  ","291,000","0","291,000","0","0","0","291,000","0","291,000",
" ","3703  ","欣陸            ","356,006","66,000","290,006","0","0","0","356,006","66,000","290,006",
" ","4977  ","眾達-KY         ","647,000","358,000","289,000","0","0","0","647,000","358,000","289,000",
" ",="052563","全新凱基45購02  ","295,000","10,000","285,000","0","0","0","295,000","10,000","285,000",
" ","4552  ","力達-KY         ","810,000","525,000","285,000","0","0","0","810,000","525,000","285,000",
" ",="00632R","元大台灣50反1   ","500,000","217,000","283,000","0","0","0","500,000","217,000","283,000",
" ","3008  ","大立光          ","1,101,275","821,243","280,032","0","0","0","1,101,275","821,243","280,032",
" ","2442  ","新美齊          ","545,000","266,000","279,000","0","0","0","545,000","266,000","279,000",
" ","2017  ","官田鋼          ","313,613","43,330","270,283","0","0","0","313,613","43,330","270,283",
" ",="061625","國巨法興34購01  ","424,000","156,000","268,000","0","0","0","424,000","156,000","268,000",
" ","8011  ","台通            ","332,000","73,000","259,000","0","0","0","332,000","73,000","259,000",
" ","2406  ","國碩            ","280,000","24,800","255,200","0","0","0","280,000","24,800","255,200",
" ","5519  ","隆大            ","341,000","89,000","252,000","0","0","0","341,000","89,000","252,000",
" ","2617  ","台航            ","346,000","99,000","247,000","0","0","0","346,000","99,000","247,000",
" ","2474  ","可成            ","1,547,252","1,301,669","245,583","0","0","0","1,547,252","1,301,669","245,583",
" ","2637  ","慧洋-KY         ","1,172,000","931,000","241,000","0","0","0","1,172,000","931,000","241,000",
" ","3682  ","亞太電          ","283,000","52,000","231,000","0","0","0","283,000","52,000","231,000",
" ","1477  ","聚陽            ","1,026,846","796,980","229,866","0","0","0","1,026,846","796,980","229,866",
" ",="052277","世芯元富43購11  ","229,000","0","229,000","0","0","0","229,000","0","229,000",
" ",="00924 ","復華S&P500成長  ","236,000","10,000","226,000","0","0","0","236,000","10,000","226,000",
" ","2451  ","創見            ","294,000","71,000","223,000","0","0","0","294,000","71,000","223,000",
" ","3669  ","圓展            ","337,000","115,000","222,000","0","0","0","337,000","115,000","222,000",
" ","2493  ","揚博            ","309,000","95,000","214,000","0","0","0","309,000","95,000","214,000",
" ","2455  ","全新            ","674,000","465,000","209,000","0","0","0","674,000","465,000","209,000",
" ",="048417","祥碩富邦44購01  ","208,000","0","208,000","0","0","0","208,000","0","208,000",
" ","2420  ","新巨            ","243,000","35,000","208,000","0","0","0","243,000","35,000","208,000",
" ","8163  ","達方            ","232,000","28,000","204,000","0","0","0","232,000","28,000","204,000",
" ","2338  ","光罩            ","475,000","272,000","203,000","0","0","0","475,000","272,000","203,000",
" ","3049  ","精金            ","263,000","60,000","203,000","0","0","0","263,000","60,000","203,000",
